Question,Category
Who's involved in this?,Remember
Who suggested this?,Remember
What field is this part of?,Remember
What conceptual framework is this part of?,Remember
When was this suggested?,Remember
Where was this proposed?,Remember
How does the history of this look like?,Remember
How did this develop over time?,Remember
In what context was this suggested?,Remember
What's an example of this?,Remember
How can this be illustrated?,Remember
Where can this be observed?,Remember
When does this manifest?,Remember
What's an instance of this?,Remember
What are some facts related to this?,Remember
What is known about this topic?,Remember
What other concepts are related to this?,Remember
How does this relate to other topics?,Remember
Are there other names for this?,Remember
Is this a novel idea?,Remember
How would you define this?,Remember
What is this about?,Remember
How would you characterize this?,Remember
What are the basic facts of this?,Remember
What is the definition of this?,Remember
What puzzle is this part of?,Remember
What are some unanswered questions about this?,Remember
What is controversial about this?,Remember
What are some known problems with this?,Remember
How would you rephrase this?,Understand
How would you describe this?,Understand
How would you summarize this?,Understand
How would you explain this to a child?,Understand
How would you explain this to a teenager?,Understand
How would you explain this to a student?,Understand
How would you explain this to a peer?,Understand
What category does this fall under?,Understand
How can you classify this?,Understand
How would you model this?,Understand
What is the function of this?,Understand
What are the first principles of this?,Understand
What is the underlying mental model?,Understand
What's the dual of this?,Understand
How would you generalize this?,Understand
What's the essence of this?,Understand
What are the key ideas behind this?,Understand
What are the key takeaways of this?,Understand
What pattern does this capture?,Understand
What is the basis of this?,Understand
What are the main points of this?,Understand
How would you translate this to another domain?,Understand
How would you represent this visually?,Understand
How does this compare to related notions?,Understand
How is this different to related notions?,Understand
How is this similar to related notions?,Understand
How does this relate to other notions?,Understand
How does this interact with other notions?,Understand
How does this fit with other notions?,Understand
What would be an analogy for this?,Understand
What is this analogous to?,Understand
What can you conclude from this?,Understand
How can this be extrapolated?,Understand
What does this all mean?,Understand
Why is this important?,Understand
Why is this meaningful?,Understand
Why is this relevant?,Understand
What is the value of this?,Understand
Why is this studied?,Understand
What's the purpose of this?,Understand
What does this imply?,Understand
What follows from this?,Understand
How could this change how we view the world?,Understand
What can this lead to?,Understand
How does this affect the rest?,Understand
How does this come into play?,Understand
Why does this occur?,Understand
What is the cause of this?,Understand
What is the source of this?,Understand
What is this a consequence of?,Understand
Why is this the case?,Understand
Why does this exist?,Understand
Why is this a thing?,Understand
How can this be applied?,Apply
What is the impact of this?,Apply
What are some applications of this?,Apply
How can this be helpful?,Apply
Who can benefit from this?,Apply
How could this be put into practice?,Apply
How can this be leveraged?,Apply
How can this be harnessed?,Apply
How can this be made practical?,Apply
How can you make the most of this?,Apply
How can you take advantage of this?,Apply
How can you best use this?,Apply
How could this be applied in a professional setting?,Apply
How could this be applied in a personal setting?,Apply
How can this help people?,Apply
How could this be of use to others?,Apply
What are some unexpected application domains for this?,Apply
What's next?,Apply
How could this be applied to other domains?,Apply
What are some unique areas where this can be applied?,Apply
How might this be used in new areas?,Apply
What is the future of this?,Apply
How might this apply to new domains?,Apply
What domains might this be helpful in?,Apply
What problems can this solve?,Apply
What issues can this help with?,Apply
What can this do in other domains?,Apply
How can this be applied in a new domain?,Apply
How can this change the global landscape?,Apply
What has to be in place before this can be applied?,Apply
What are the components of this?,Analyze
What's the structure of this?,Analyze
How can this be split into parts?,Analyze
How do the components of this relate to each other?,Analyze
How are the components of this different?,Analyze
How do the components of this interact?,Analyze
What role do the components of this play?,Analyze
How are the components of this interconnected?,Analyze
How can this be deconstructed?,Analyze
What are some attributes of this?,Analyze
How are the components of this integrated?,Analyze
How could this be analyzed in more depth?,Analyze
How does this emerge?,Analyze
How does this evolve?,Analyze
How does this change?,Analyze
How does this become coherent?,Analyze
How does this work as a whole?,Analyze
How can this be viewed as a process?,Analyze
How can this be viewed as a system?,Analyze
How can this be viewed as an ecosystem?,Analyze
How can this be viewed as an organism?,Analyze
How can this be viewed as an experience?,Analyze
How can this be viewed as a space?,Analyze
How can this be viewed from a physics perspective?,Analyze
How can this be viewed from an economics perspective?,Analyze
How can this be viewed from a philosophy perspective?,Analyze
How can this be viewed from a mathematics perspective?,Analyze
How can this be viewed from a biology perspective?,Analyze
How can this be viewed from a psychology perspective?,Analyze
How can you evaluate this?,Evaluate
How can you test this?,Evaluate
How can this be measured?,Evaluate
How can this be disproven?,Evaluate
What assumptions underlie this?,Evaluate
What biases are hidden within this?,Evaluate
What evidence supports this?,Evaluate
What are some arguments against this?,Evaluate
What evidence contradicts this?,Evaluate
How would different people view this?,Evaluate
What would happen if this was false?,Evaluate
How do you know this?,Evaluate
What are some different perspectives on this?,Evaluate
What are some possible interpretations of this?,Evaluate
What's another way to look at this?,Evaluate
What would happen if this was false?,Evaluate
What's a counterargument for this?,Evaluate
How would you assess this?,Evaluate
What data would you use to evaluate this?,Evaluate
How could you verify this?,Evaluate
Why isn't this more applied?,Evaluate
Where does this end?,Evaluate
When does this hold?,Evaluate
What needs to be known to judge this?,Evaluate
What's the train of thought behind this?,Evaluate
How did people get to this?,Evaluate
What motivated the people behind this?,Evaluate
What are some alternatives to this?,Evaluate
Is this in accordance with common sense?,Evaluate
Why is this the norm?,Evaluate
How would you communicate this visually?,Create
How would you visualize this?,Create
How would you represent this?,Create
How can this be conveyed effectively?,Create
How would you communicate this as an experience?,Create
How does this fit into a narrative?,Create
How can this be made more tangible?,Create
How would you design something based on this?,Create
How would you construct something based on this?,Create
How would you obtain this differently?,Create
How can this be adapted?,Create
How can this be modified?,Create
How can this be expanded?,Create
How can this be translated?,Create
How can this be formalized?,Create
How can this be adapted?,Create
How can this be manipulated?,Create
Where can this be improved?,Create
How can this be a source for inspiration?,Create
How would this be taught?,Create
How can you relate to this?,Create
What questions does this give rise to?,Create
What opportunities does this offer?,Create
How could you best express this?,Create
What is missing from this?,Create
What are some unexplored dimensions of this?,Create
What does this say about its advocates?,Create
Why would people find this intriguing?,Create
How would you contribute to this?,Create
How could you have more of a connection to this?,Create
What plot twist could this provide?,Create
